,srp,ocp,dip,method_loc
srp,1.0,0.317,0.286,-0.487
ocp,0.317,1.0,0.135,-0.294
dip,0.286,0.135,1.0,-0.371
method_loc,-0.487,-0.294,-0.371,1.0
