clone_type,principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,U_statistic,p_value,rank_biserial_r,significant_05
overall,SRP,3493,11125,1.7644,1.9013,16993086.0,0.0,0.1254,Yes
overall,OCP,3493,11125,1.9407,1.9032,20069437.5,0.0,-0.0329,Yes
overall,DIP,3493,11125,1.2141,1.715,11638141.5,0.0,0.401,Yes
T3,SRP,3491,11125,1.7643,1.9013,16981011.0,0.0,0.1255,Yes
T3,OCP,3491,11125,1.9407,1.9032,20057357.5,0.0,-0.0329,Yes
T3,DIP,3491,11125,1.2137,1.715,11624636.5,0.0,0.4014,Yes
T2,SRP,2,11125,2.0,1.9013,12075.0,0.666,-0.0854,No
T2,OCP,2,11125,2.0,1.9032,12080.0,0.6651,-0.0858,No
T2,DIP,2,11125,2.0,1.715,13505.0,0.4636,-0.2139,No
