principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,median_cloned,median_non_cloned,std_cloned,std_non_cloned,mann_whitney_u,p_value,r_rb,cohens_d
SRP,15892,76523,1.8949156808457086,1.9167831893679024,2.0,2.0,0.34308703678208546,0.31758600113199387,594665411.0,8.184348541626864e-22,0.022015143980555707,-0.06788730810100851
OCP,15892,76523,1.9108985653158823,1.89234609202462,2.0,2.0,0.3178882605990052,0.3545480711847667,616519245.0,2.6184323947405347e-08,-0.013925602366237966,0.053232341756385526
DIP,15892,76523,1.5857034986156557,1.7529108895364793,2.0,2.0,0.6339398991932779,0.5466650473495701,522735833.5,0.0,0.1403102998675978,-0.2971851252166647
