principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,median_cloned,median_non_cloned,std_cloned,std_non_cloned,mann_whitney_u,p_value,r_rb,cohens_d
SRP,14179,61832,1.8915297270611469,1.9126665804114373,2.0,2.0,0.3486237092264228,0.3297304269993908,428388983.5,5.78199157294618e-20,0.022741643402650724,-0.06341008024121904
OCP,14179,61832,1.924324705550462,1.889151248544443,2.0,2.0,0.2945166355239408,0.36159010318188034,450527485.0,1.78744591812822e-25,-0.027761605809447643,0.10047972629979705
DIP,14179,61832,1.5636504690034558,1.7404256695562168,2.0,2.0,0.6435167438926668,0.5597635683792148,373188199.0,0.0,0.1486679160687041,-0.3067361613286929
