clone_type,principle,n,mean,median,std
T1,SRP,5,2.0,2.0,0.0
T1,OCP,5,1.6,2.0,0.5477225575051661
T1,DIP,5,2.0,2.0,0.0
T2,SRP,5,2.0,2.0,0.0
T2,OCP,5,2.0,2.0,0.0
T2,DIP,5,2.0,2.0,0.0
T3,SRP,14169,1.8914531724186605,2.0,0.3487348048111446
T3,OCP,14169,1.9244124497141648,2.0,0.2944102975835841
T3,DIP,14169,1.5633425082927517,2.0,0.6436393438418937
