principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,median_cloned,median_non_cloned,std_cloned,std_non_cloned,mann_whitney_u,p_value,r_rb,cohens_d
SRP,13740,65526,1.8975982532751092,1.9305161310014345,2.0,2.0,0.3342453820542081,0.28285997669629354,436389603.5,8.508456723643536e-39,0.03059780019540448,-0.1125727078087377
OCP,13740,65526,1.9160116448326054,1.90289350792052,2.0,2.0,0.31126056347567815,0.33603635708573737,454917282.5,4.4116535973065106e-05,-0.010559854881209585,0.03952740768254442
DIP,13740,65526,1.6126637554585153,1.7715563287855203,2.0,2.0,0.6098994407221239,0.5217794032717302,388781271.5,2.3143842856122503e-281,0.13635563997819278,-0.29529087501527423
