clone_type,principle,n,mean,median,std
T1,SRP,2,2.0,2.0,0.0
T1,OCP,2,1.0,1.0,0.0
T1,DIP,2,2.0,2.0,0.0
T2,SRP,7,2.0,2.0,0.0
T2,OCP,7,1.7142857142857142,2.0,0.4879500364742666
T2,DIP,7,2.0,2.0,0.0
T3,SRP,13190,1.876497346474602,2.0,0.3692040584468281
T3,OCP,13190,1.8990144048521607,2.0,0.33628216077710243
T3,DIP,13190,1.5382107657316149,2.0,0.6610969600164356
