principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,median_cloned,median_non_cloned,std_cloned,std_non_cloned,mann_whitney_u,p_value,r_rb,cohens_d
SRP,13199,69627,1.876581559209031,1.9099630890315538,2.0,2.0,0.36909223390532747,0.3296143213744258,444645025.5,2.1535806916706153e-35,0.03233569422235372,-0.09928604012373968
OCP,13199,69627,1.8987802106220169,1.8857914314849125,2.0,2.0,0.33653727742428774,0.3635389844496997,463604798.5,0.0015257650088581327,-0.008925749233841707,0.03614297381652296
DIP,13199,69627,1.5385256458822638,1.7417381188332113,2.0,2.0,0.6609814501376264,0.5585518962387724,383325566.5,0.0,0.16578293487723839,-0.3527411637216854
