principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,median_cloned,median_non_cloned,std_cloned,std_non_cloned,mann_whitney_u,p_value,r_rb,cohens_d
SRP,12989,63499,1.8839787512510586,1.908376509866297,2.0,2.0,0.3598835465643337,0.3342675151965532,402184242.5,6.3546220160855394e-21,0.0247578933601319,-0.07202207280788317
OCP,12989,63499,1.9104626992070213,1.8863289185656467,2.0,2.0,0.3167226252920112,0.3618366096151829,420115375.0,3.7834489158928124e-11,-0.018722665015395767,0.06806287591938737
DIP,12989,63499,1.5732542920933097,1.7496810973401156,2.0,2.0,0.6415418598110634,0.5536534933107138,351387620.5,1.660693751330598e-300,0.14793279534418735,-0.3097736900918373
