,srp,ocp,dip,method_loc
srp,1.0,0.265,0.302,-0.4
ocp,0.265,1.0,0.193,-0.407
dip,0.302,0.193,1.0,-0.187
method_loc,-0.4,-0.407,-0.187,1.0
