clone_type,n_methods,n_cloned,log_likelihood,ll_null,mcfadden_r2,AIC,converged,controls
overall,5632,401,-1430.2046,-1445.9186,0.0109,2870.4091,True,SRP+OCP+DIP+METHOD_LOC
T3,5632,401,-1430.2046,-1445.9186,0.0109,2870.4091,True,SRP+OCP+DIP+METHOD_LOC
