project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
junit5,test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java,63,72,1,T3,2,T2:82;T3:159,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java
junit5,test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java,75,84,1,T3,2,T2:82;T3:159,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java
junit5,test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java,87,97,1,T3,1,T3:159,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java
junit5,test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java,100,111,1,T3,1,T3:160,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java
junit5,test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java,114,125,1,T3,1,T3:160,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/ConsoleTestExecutorTests.java
junit5,test/java/org/junit/platform/console/tasks/CustomContextClassLoaderExecutorTests.java,31,42,1,T3,1,T3:163,11,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/CustomContextClassLoaderExecutorTests.java
junit5,test/java/org/junit/platform/console/tasks/CustomContextClassLoaderExecutorTests.java,45,57,1,T3,1,T3:163,11,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/CustomContextClassLoaderExecutorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,74,85,1,T3,2,T2:80;T3:154,7,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,88,99,1,T3,2,T2:80;T3:154,7,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,123,133,1,T3,1,T3:155,9,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
