project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
selenium-trunk,FirefoxOptionsTest.java,366,382,1,T3,1,T3:247,6,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/FirefoxOptionsTest.java
selenium-trunk,FirefoxOptionsTest.java,385,459,1,T3,1,T3:248,31,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/FirefoxOptionsTest.java
selenium-trunk,FirefoxOptionsTest.java,462,535,1,T3,1,T3:248,31,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/FirefoxOptionsTest.java
selenium-trunk,FirefoxProfileTest.java,73,78,1,T3,1,T3:244,5,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/FirefoxProfileTest.java
selenium-trunk,FirefoxProfileTest.java,98,103,1,T3,1,T3:244,5,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/FirefoxProfileTest.java
selenium-trunk,FirefoxProfileTest.java,123,128,1,T3,1,T3:244,5,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/FirefoxProfileTest.java
selenium-trunk,GeckoDriverServiceTest.java,35,48,1,T3,2,T2:187;T3:235,11,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/GeckoDriverServiceTest.java
selenium-trunk,PreferencesTest.java,67,72,1,T3,1,T3:249,5,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/PreferencesTest.java
selenium-trunk,PreferencesTest.java,75,80,1,T3,1,T3:249,5,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/PreferencesTest.java
selenium-trunk,PreferencesTest.java,126,133,1,T3,1,T3:250,8,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/PreferencesTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,73,78,1,T3,2,T2:180;T3:84,6,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,81,85,1,T3,2,T2:181;T3:253,5,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,88,92,1,T3,1,T3:188,5,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,95,99,1,T3,1,T3:188,5,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,102,118,1,T3,2,T2:182;T3:254,7,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,121,137,1,T3,2,T2:182;T3:254,7,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,144,157,1,T3,1,T3:255,13,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,168,185,1,T3,3,T1:34;T2:183;T3:256,13,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,195,223,1,T3,3,T1:35;T2:184;T3:257,20,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,231,251,1,T3,3,T1:36;T2:185;T3:258,13,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
selenium-trunk,TakesFullPageScreenshotTest.java,267,275,1,T3,2,T2:186;T3:259,8,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/firefox/TakesFullPageScreenshotTest.java
