model,term,OR,OR_lo,OR_hi,p_value
main_effects,SRP_z,1.1728513108621268,1.148228565722761,1.1980020689740811,4.255027267212843e-49
main_effects,OCP_z,1.3598534174158659,1.3275085200392711,1.3929864019275033,3.1994915436490896e-138
main_effects,DIP_z,0.8064434029551926,0.7926292572989346,0.8204983050791875,1.6064350685607635e-131
main_effects,LOC_z,1.8593484519045402,1.8160195465225408,1.9037111534509021,0.0
with_interactions,SRP_z,0.9981931904760408,0.9752956027250929,1.0216283583445933,0.8786044906627832
with_interactions,OCP_z,1.0950651039042618,1.069425728580021,1.1213191806981317,5.790502919105188e-14
with_interactions,DIP_z,0.8210115115951706,0.8063675094450388,0.8359214555106406,2.5316514011007563e-102
with_interactions,LOC_z,2.7498031744554305,2.6713337381233764,2.830577621333488,0.0
with_interactions,SRP_x_LOC,1.1066997678722381,1.092299767841512,1.121289605900728,5.436490399888344e-52
with_interactions,OCP_x_LOC,1.2127901413172397,1.1978498649642584,1.2279167614383608,2.2339910499250303e-204
with_interactions,DIP_x_LOC,1.127941859734841,1.1078306711227357,1.148418140159201,2.664408948318667e-39
lr_test,model2_vs_model1,,,,0.0
