subset,principle,r_rb,p_value,mean_cloned,mean_non_cloned,n_cloned,n_non_cloned
nicad_eligible_LOC>=10,SRP,-0.07593476633724316,1.1195183554096043e-43,1.8312447786131996,1.71939586645469,8379,13838
nicad_eligible_LOC>=10,OCP,-0.178854791194464,8.303456532564968e-209,1.8684807256235827,1.6387483740424917,8379,13838
nicad_eligible_LOC>=10,DIP,0.01754310931666081,0.011128216529210377,1.4869316147511635,1.4810666281254516,8379,13838
full_corpus,SRP,0.022037947169909478,7.378399072501464e-22,1.8949156808457086,1.9168017570464886,15892,76492
full_corpus,OCP,-0.013937440427482128,2.5547161530366353e-08,1.9108985653158823,1.8923286095277938,15892,76492
full_corpus,DIP,0.14024355330210347,0.0,1.5857034986156557,1.7528238247136956,15892,76492
