principle,score,n_total,pct_total,n_cloned,pct_cloned,n_non_cloned,pct_non_cloned
SRP,0,1128,1.220990647731209,188,1.182985149760886,940,1.2288866809601005
SRP,1,5778,6.2543297540699685,1294,8.142461615907374,4484,5.862050933430947
SRP,2,85478,92.52467959819882,14410,90.67455323433174,71068,92.90906238560895
OCP,0,1292,1.3985105645999307,158,0.9942109237352127,1134,1.4825079746901637
OCP,1,7068,7.650675441634915,1100,6.921721620941354,5968,7.802123097840297
OCP,2,84024,90.95081399376515,14634,92.08406745532344,69390,90.71536892746954
DIP,0,5581,6.041089366124004,1265,7.959979864082557,4316,5.6424201223657375
DIP,1,14329,15.510261517145826,4054,25.509690410269318,10275,13.43277728389897
DIP,2,72474,78.44864911673017,10573,66.53032972564813,61901,80.9248025937353
