clone_type,n_methods,n_cloned,log_likelihood,ll_null,mcfadden_r2,AIC,converged,controls
overall,9589,2693,-5566.8204,-5693.4437,0.0222,11143.6408,True,SRP+OCP+DIP+METHOD_LOC
T3,9586,2690,-5562.7523,-5689.6327,0.0223,11135.5047,True,SRP+OCP+DIP+METHOD_LOC
