,srp,ocp,dip,method_loc
srp,1.0,0.173,0.063,-0.139
ocp,0.173,1.0,0.021,-0.217
dip,0.063,0.021,1.0,-0.009
method_loc,-0.139,-0.217,-0.009,1.0
