clone_type,principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,U_statistic,p_value,rank_biserial_r,significant_05
overall,SRP,2693,6896,1.9848,1.9856,9274335.0,0.6446,0.0012,No
overall,OCP,2693,6896,1.9703,1.9585,9359220.5,0.0447,-0.0079,Yes
overall,DIP,2693,6896,1.8169,1.8657,8761729.0,0.0,0.0564,Yes
T3,SRP,2690,6896,1.9848,1.9856,9263857.5,0.6404,0.0012,No
T3,OCP,2690,6896,1.9703,1.9585,9348530.0,0.0456,-0.0079,Yes
T3,DIP,2690,6896,1.8167,1.8657,8750182.0,0.0,0.0566,Yes
T1,SRP,3,6896,2.0,1.9856,10477.5,0.8436,-0.0129,No
T1,OCP,3,6896,2.0,1.9585,10690.5,0.7475,-0.0335,No
T1,DIP,3,6896,2.0,1.8657,11547.0,0.5304,-0.1163,No
