principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,median_cloned,median_non_cloned,std_cloned,std_non_cloned,mann_whitney_u,p_value,r_rb,cohens_d
SRP,14057,66609,1.8903749021839653,1.9153417706315963,2.0,2.0,0.35083319440693256,0.32277835620133793,456366286.5,1.1506986947300604e-24,0.02519445451068536,-0.07615570043853043
OCP,14057,66609,1.9028242156932489,1.8871473824858502,2.0,2.0,0.33178020958572907,0.36332694478216204,473400445.0,3.974623819615438e-05,-0.011190775204446002,0.043786386442366446
DIP,14057,66609,1.5545279931706624,1.7421669744328845,2.0,2.0,0.6509730847868193,0.5591375080122756,395273169.0,0.0,0.15569031165860436,-0.3256523160238931
