,srp,ocp,dip,method_loc
srp,1.0,0.297,0.25,-0.364
ocp,0.297,1.0,0.156,-0.369
dip,0.25,0.156,1.0,-0.214
method_loc,-0.364,-0.369,-0.214,1.0
