clone_type,n_methods,n_cloned,log_likelihood,ll_null,mcfadden_r2,AIC,converged,controls
overall,15927,2903,-7292.4092,-7562.408,0.0357,14594.8183,True,SRP+OCP+DIP+METHOD_LOC
T3,15927,2903,-7292.4092,-7562.408,0.0357,14594.8183,True,SRP+OCP+DIP+METHOD_LOC
