,srp,ocp,dip,method_loc
srp,1.0,0.237,0.091,-0.344
ocp,0.237,1.0,0.183,-0.437
dip,0.091,0.183,1.0,-0.183
method_loc,-0.344,-0.437,-0.183,1.0
