clone_type,principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,U_statistic,p_value,rank_biserial_r,significant_05
overall,SRP,1713,14691,1.9229,1.9341,12490674.0,0.2402,0.0073,No
overall,OCP,1713,14691,1.7998,1.9058,11413002.5,0.0,0.093,Yes
overall,DIP,1713,14691,1.7682,1.8055,12170741.5,0.0005,0.0328,Yes
T3,SRP,1711,14691,1.9229,1.9341,12475058.0,0.2352,0.0074,No
T3,OCP,1711,14691,1.8007,1.9058,11411618.5,0.0,0.092,Yes
T3,DIP,1711,14691,1.768,1.8055,12153763.5,0.0004,0.033,Yes
T2,SRP,2,14691,2.0,1.9341,15616.0,0.7141,-0.063,No
T2,OCP,2,14691,1.0,1.9058,1384.0,0.0,0.9058,Yes
T2,DIP,2,14691,2.0,1.8055,16978.0,0.5449,-0.1557,No
