,srp,ocp,dip,method_loc
srp,1.0,0.342,0.338,-0.601
ocp,0.342,1.0,0.199,-0.56
dip,0.338,0.199,1.0,-0.271
method_loc,-0.601,-0.56,-0.271,1.0
