principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,median_cloned,median_non_cloned,std_cloned,std_non_cloned,mann_whitney_u,p_value,r_rb,cohens_d
SRP,12399,65398,1.9316880393580127,1.9194164959173063,2.0,2.0,0.28359737251894285,0.3135478120332177,408962277.0,0.00038722043898646954,-0.008700227807965755,0.03971768901874385
OCP,12399,65398,1.902492136462618,1.8905012385699869,2.0,2.0,0.331581363219056,0.3584127587500341,408594405.5,0.0061472655365083844,-0.007792877456299641,0.03384650514755422
DIP,12399,65398,1.6903782563109928,1.759365729838833,2.0,2.0,0.5719954096558448,0.5390132860844501,379833813.0,1.7952195249939718e-58,0.06314475625274307,-0.12672123195440116
