clone_type,principle,n,mean,median,std
T1,SRP,3,2.0,2.0,0.0
T1,OCP,3,2.0,2.0,0.0
T1,DIP,3,2.0,2.0,0.0
T2,SRP,4,2.0,2.0,0.0
T2,OCP,4,1.5,1.5,0.5773502691896257
T2,DIP,4,2.0,2.0,0.0
T3,SRP,15183,1.8942238029374958,2.0,0.3437650060213818
T3,OCP,15183,1.9174076269511955,2.0,0.30566050939370476
T3,DIP,15183,1.5770928011591911,2.0,0.6368514922866357
