principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,median_cloned,median_non_cloned,std_cloned,std_non_cloned,mann_whitney_u,p_value,r_rb,cohens_d
SRP,15190,71878,1.894272547728769,1.9167895600879268,2.0,2.0,0.34369328120006004,0.3156028136451187,533827156.5,6.438855291694958e-21,0.022139506519907592,-0.07021633489392937
OCP,15190,71878,1.9173140223831469,1.8966025765881076,2.0,2.0,0.3057749961749885,0.3474990665086065,554515212.0,3.6540840713049105e-10,-0.015756714970603047,0.06081077601782311
DIP,15190,71878,1.577287689269256,1.755238042238237,2.0,2.0,0.6367694204382875,0.5442034218433379,464506631.0,0.0,0.14912031378749246,-0.3169467144581755
