principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,median_cloned,median_non_cloned,std_cloned,std_non_cloned,mann_whitney_u,p_value,r_rb,cohens_d
SRP,15491,71292,1.8957459169840554,1.9208045783538126,2.0,2.0,0.341892131472626,0.30999541967904354,538597987.0,6.881097690590856e-27,0.024618600814463543,-0.07931837907663337
OCP,15491,71292,1.9125298560454458,1.8994417325927173,2.0,2.0,0.31576584174595257,0.3441183530772828,557310020.5,0.00017833578128747304,-0.009268212462535619,0.03858170428360855
DIP,15491,71292,1.5853721515718804,1.7621612523144252,2.0,2.0,0.6346893390504819,0.5363346996756916,471066018.0,0.0,0.1469165447408196,-0.31844164207786824
