principle,consensus_class,llm_class,count
srp,0,0,4
srp,0,1,2
srp,0,2,0
srp,1,0,1
srp,1,1,9
srp,1,2,5
srp,2,0,1
srp,2,1,7
srp,2,2,111
ocp,0,0,13
ocp,0,1,1
ocp,0,2,0
ocp,1,0,0
ocp,1,1,1
ocp,1,2,11
ocp,2,0,2
ocp,2,1,16
ocp,2,2,107
dip,0,0,6
dip,0,1,7
dip,0,2,0
dip,1,0,3
dip,1,1,9
dip,1,2,11
dip,2,0,2
dip,2,1,5
dip,2,2,49
